estimated_population,building_type,quality_flag,estimated_units,footprint_area_sqft,GEOID,STAT_LAND_,people_per_unit_ratio,estimation_notes
2.6,single_family_detached,ok,1,322.4958543376344,482012516002,A1,3.1485642946317105,none
2.3,mobile_home,ok,1,250.46055519673405,482012516003,A2,2.8,none
2.6,single_family_detached,ok,1,253.37217043030358,482012516002,A1,3.1485642946317105,none
2.3,mobile_home,ok,1,88.34266169802443,482012516003,A2,2.8,none
2.3,single_family_detached,ok,1,86.88612749110955,482012516003,A1,2.8,none
2.6,single_family_detached,ok,1,285.87551061150066,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,340.54238513113836,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,456.48075105121814,482012516002,A1,3.1485642946317105,none
2.3,single_family_detached,ok,1,70.15351104248913,482012516003,A1,2.8,none
2.3,mobile_home,ok,1,29.533015137383295,482012516003,A2,2.8,none
2.3,single_family_detached,ok,1,246.31654705455708,482012516003,A1,2.8,none
2.6,single_family_detached,ok,1,268.57660762345154,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,377.0999414925909,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,417.99700949275643,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,244.7012415084914,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,531.5042637767052,482012516002,A1,3.1485642946317105,none
2.3,single_family_detached,ok,1,96.25932586953726,482012516003,A1,2.8,none
2.6,single_family_detached,ok,1,441.7361360931291,482012516002,A1,3.1485642946317105,none
2.3,single_family_detached,ok,1,148.59086819787208,482012516003,A1,2.8,none
2.6,single_family_detached,ok,1,509.83373906001174,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,425.6463082282973,482012516002,A1,3.1485642946317105,none
2.3,mobile_home,ok,1,243.39449005691841,482012516003,A2,2.8,none
2.6,single_family_detached,ok,1,252.92424445575847,482012516002,A1,3.1485642946317105,none
2.3,single_family_detached,ok,1,246.01131466150915,482012516003,A1,2.8,none
2.6,single_family_detached,ok,1,457.50687669138347,482012516002,A1,3.1485642946317105,none
2.3,single_family_detached,ok,1,148.93430682925032,482012516003,A1,2.8,none
2.3,single_family_detached,ok,1,267.9673627292221,482012516003,A1,2.8,none
2.6,single_family_detached,ok,1,267.6487040360784,482012516002,A1,3.1485642946317105,none
2.3,single_family_detached,ok,1,113.70200266059386,482012516003,A1,2.8,none
2.6,single_family_detached,ok,1,280.37031445372475,482012516002,A1,3.1485642946317105,none
2.3,single_family_detached,ok,1,95.3782065825101,482012516003,A1,2.8,none
2.3,mobile_home,ok,1,215.95219421925015,482012516003,A2,2.8,none
2.6,single_family_detached,ok,1,215.97840717338426,482012516002,A1,3.1485642946317105,none
2.3,mobile_home,ok,1,192.60996381712516,482012516003,A2,2.8,none
2.0,single_family_detached,ok,1,111.18863416311731,482012517021,A1,2.5308641975308643,none
2.0,single_family_detached,ok,1,386.33702907181237,482012517021,A1,2.5308641975308643,none
2.0,single_family_detached,ok,1,116.86230209410496,482012517021,A1,2.5308641975308643,none
2.0,single_family_detached,ok,1,515.0544369077734,482012517021,A1,2.5308641975308643,none
4.9,single_family_detached,ok,1,30.640816051066224,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,141.04885982249584,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,123.05793194015385,482012516001,A1,5.983539094650205,none
4.9,mobile_home,ok,1,216.73821216159863,482012516001,A2,5.983539094650205,none
4.9,single_family_detached,ok,1,200.62545924002222,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,139.88874204444747,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,258.50214112018483,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,176.3181485106704,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,122.62010454052778,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,167.78783680956752,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,138.61620117974456,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,214.74648708558686,482012516001,A1,5.983539094650205,none
4.9,single_family_detached,ok,1,44.80056912037772,482012516001,A1,5.983539094650205,none
2.6,single_family_detached,ok,1,383.1150703595111,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,445.7308889500555,482012516002,A1,3.1485642946317105,none
2.3,single_family_detached,ok,1,129.0534224845996,482012516003,A1,2.8,none
2.6,single_family_detached,ok,1,328.9618532499862,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,296.7828571219709,482012516002,A1,3.1485642946317105,none
2.3,mobile_home,ok,1,66.46135967483004,482012516003,A2,2.8,none
2.3,single_family_detached,ok,1,66.46135967483004,482012516003,A1,2.8,none
2.6,single_family_detached,ok,1,123.66959975498762,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,288.6063645177743,482012516002,A1,3.1485642946317105,none
2.3,mobile_home,ok,1,200.67276421223522,482012516003,A2,2.8,none
2.6,single_family_detached,ok,1,411.415790141465,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,117.2772479581194,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,170.82223360702298,482012516002,A1,3.1485642946317105,none
2.3,single_family_detached,ok,1,617.4795931305368,482012516003,A1,2.8,none
2.6,single_family_detached,ok,1,321.9636255311005,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,613.7526408938883,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,123.95063014672611,482012516002,A1,3.1485642946317105,none
2.6,single_family_detached,ok,1,138.63519774158243,482012516002,A1,3.1485642946317105,none
2.0,single_family_detached,ok,1,196.03650501417115,482012517021,A1,2.5308641975308643,none
2.6,single_family_detached,ok,1,312.4492219131272,482012516002,A1,3.1485642946317105,none
2.3,mobile_home,ok,1,140.10226670217284,482012516003,A2,2.8,none
2.6,single_family_detached,ok,1,745.3884503663063,482012516002,A1,3.1485642946317105,none
2.3,single_family_detached,ok,1,118.07481596285058,482012516003,A1,2.8,none
2.0,single_family_detached,ok,1,301.2346486655996,482012517021,A1,2.5308641975308643,none
